server_id,time_s,reason
20,31.22628,max_conn
11,36.61366,max_conn
11,36.62865,max_conn
20,37.41927,max_conn
20,43.60517,max_conn
20,43.60614,max_conn
20,43.60761,max_conn
20,43.62605,max_conn
20,43.63922,max_conn
20,43.64574,max_conn
20,43.64699,max_conn
13,45.93981,max_conn
11,46.08829,max_conn
20,46.45801,max_conn
11,47.38157,max_conn
20,47.60471,max_conn
20,47.60471,max_conn
11,48.41761,max_conn
11,48.94810,max_conn
11,48.96240,max_conn
11,48.97093,max_conn
11,48.98584,max_conn
11,49.01126,max_conn
19,49.18352,max_conn
20,49.80605,max_conn
20,50.58135,max_conn
20,50.58665,max_conn
20,50.60299,max_conn
5,50.92463,max_conn
5,50.92830,max_conn
20,51.07795,max_conn
20,51.07856,max_conn
11,51.48715,max_conn
11,51.49882,max_conn
11,51.49907,max_conn
11,51.91799,max_conn
11,51.98072,max_conn
11,52.25363,max_conn
11,52.25399,max_conn
11,52.27334,max_conn
11,52.27629,max_conn
11,52.28225,max_conn
11,52.28630,max_conn
11,52.65057,max_conn
11,53.51718,max_conn
11,53.57096,max_conn
11,53.58395,max_conn
20,53.71973,max_conn
20,53.72270,max_conn
15,53.75274,max_conn
15,53.76233,max_conn
20,53.77933,max_conn
20,53.78664,max_conn
20,53.81311,max_conn
20,53.81471,max_conn
5,54.20103,max_conn
5,54.20128,max_conn
5,54.21135,max_conn
19,54.27352,max_conn
5,54.33594,max_conn
20,54.41373,max_conn
11,54.58002,max_conn
11,54.59178,max_conn
11,54.61446,max_conn
15,54.64601,max_conn
15,54.64646,max_conn
11,54.82783,max_conn
20,55.06352,max_conn
20,55.07462,max_conn
20,55.09034,max_conn
20,55.11421,max_conn
11,55.12469,max_conn
11,55.12525,max_conn
11,55.19083,max_conn
11,55.20107,max_conn
19,55.33380,max_conn
19,55.35549,max_conn
19,55.35721,max_conn
18,55.56952,max_conn
11,55.91679,max_conn
11,55.93982,max_conn
20,55.95375,max_conn
19,56.52474,max_conn
19,56.52938,max_conn
19,56.53955,max_conn
20,56.74715,max_conn
20,56.74850,max_conn
9,57.05815,max_conn
9,57.06402,max_conn
5,57.07692,max_conn
9,57.08267,max_conn
9,57.08520,max_conn
20,57.14033,max_conn
20,57.27748,max_conn
9,57.61055,max_conn
9,57.61205,max_conn
20,57.84984,max_conn
11,58.09938,max_conn
11,58.16673,max_conn
11,58.16852,max_conn
20,58.18386,max_conn
20,58.18715,max_conn
11,58.20183,max_conn
5,58.20828,max_conn
11,58.20940,max_conn
5,58.20989,max_conn
5,58.21681,max_conn
11,58.31009,max_conn
11,58.31265,max_conn
11,58.75721,max_conn
11,58.75800,max_conn
11,58.77508,max_conn
11,58.81767,max_conn
11,58.82490,max_conn
20,58.92966,max_conn
5,59.68558,max_conn
5,59.69413,max_conn
5,59.69466,max_conn
15,59.87149,max_conn
15,59.88192,max_conn
20,59.93602,max_conn
20,59.94025,max_conn
20,60.00544,max_conn
11,60.20320,max_conn
11,60.20516,max_conn
11,60.21609,max_conn
19,60.32863,max_conn
19,60.35351,max_conn
19,60.36508,max_conn
19,60.37508,max_conn
19,60.38219,max_conn
5,60.47622,max_conn
5,60.49300,max_conn
20,60.53867,max_conn
20,60.55128,max_conn
20,60.59028,max_conn
11,60.76224,max_conn
15,60.82886,max_conn
15,60.83274,max_conn
20,61.24545,max_conn
9,61.25343,max_conn
9,61.25344,max_conn
20,61.27489,max_conn
20,61.28329,max_conn
11,61.29556,max_conn
11,61.30381,max_conn
11,61.38693,max_conn
12,61.41001,max_conn
12,61.41121,max_conn
12,61.42572,max_conn
12,61.47511,max_conn
19,61.51046,max_conn
5,61.71865,max_conn
18,61.73184,max_conn
18,61.73377,max_conn
18,61.75129,max_conn
11,61.77145,max_conn
11,61.79683,max_conn
11,61.80236,max_conn
11,61.80418,max_conn
5,62.45281,max_conn
20,62.51566,max_conn
5,62.58227,max_conn
5,62.62147,max_conn
19,62.71212,max_conn
19,62.72010,max_conn
16,62.84609,max_conn
16,62.84823,max_conn
16,62.85042,max_conn
11,62.94656,max_conn
11,62.95511,max_conn
15,63.06340,max_conn
9,63.21780,max_conn
9,63.21984,max_conn
5,63.22378,max_conn
5,63.22511,max_conn
5,63.22888,max_conn
9,63.23462,max_conn
5,63.30071,max_conn
19,63.41574,max_conn
14,63.50307,max_conn
14,63.52625,max_conn
14,63.53293,max_conn
14,63.53360,max_conn
20,63.55455,max_conn
20,63.62041,max_conn
11,63.81582,max_conn
20,63.96355,max_conn
20,64.01819,max_conn
20,64.05271,max_conn
11,64.13565,max_conn
11,64.26981,max_conn
11,64.31780,max_conn
11,64.34129,max_conn
11,64.35323,max_conn
11,64.35978,max_conn
11,64.36193,max_conn
11,64.36219,max_conn
5,64.41999,max_conn
5,64.43508,max_conn
5,64.44047,max_conn
13,64.44270,max_conn
13,64.44276,max_conn
13,64.45027,max_conn
15,64.91630,max_conn
15,64.91862,max_conn
11,64.95486,max_conn
11,64.95637,max_conn
20,65.06820,max_conn
11,65.07674,max_conn
11,65.07746,max_conn
13,65.08048,max_conn
13,65.08351,max_conn
13,65.08365,max_conn
20,65.10347,max_conn
20,65.49823,max_conn
20,65.51580,max_conn
8,65.51661,max_conn
8,65.52446,max_conn
11,65.55869,max_conn
11,65.56628,max_conn
11,65.58605,max_conn
11,65.63519,max_conn
11,65.84829,max_conn
15,65.96685,max_conn
9,66.14254,max_conn
11,66.39336,max_conn
11,66.41361,max_conn
4,66.47956,max_conn
4,66.50710,max_conn
4,66.51470,max_conn
5,66.52145,max_conn
4,66.53001,max_conn
19,66.56586,max_conn
19,66.56829,max_conn
19,66.57403,max_conn
20,66.71186,max_conn
20,66.71715,max_conn
20,66.72141,max_conn
20,66.73155,max_conn
3,66.76453,max_conn
18,66.92499,max_conn
15,66.99261,max_conn
15,67.00167,max_conn
19,67.12865,max_conn
19,67.15688,max_conn
11,67.22774,max_conn
11,67.23319,max_conn
11,67.24654,max_conn
9,67.31770,max_conn
5,67.32659,max_conn
9,67.39427,max_conn
20,67.47537,max_conn
11,67.48606,max_conn
11,67.48816,max_conn
11,67.49110,max_conn
11,67.49182,max_conn
3,67.62809,max_conn
3,67.63558,max_conn
12,67.66200,max_conn
19,67.67711,max_conn
19,67.68174,max_conn
19,67.68424,max_conn
9,67.70893,max_conn
19,67.73790,max_conn
4,67.88531,max_conn
18,67.92022,max_conn
18,67.92224,max_conn
18,67.93527,max_conn
11,67.95112,max_conn
9,68.06846,max_conn
19,68.08344,max_conn
20,68.54869,max_conn
12,68.57796,max_conn
12,68.58011,max_conn
12,68.58883,max_conn
12,68.59205,max_conn
12,68.59428,max_conn
5,68.59450,max_conn
5,68.60064,max_conn
12,68.60149,max_conn
18,68.64007,max_conn
18,68.64896,max_conn
18,68.65542,max_conn
5,68.88130,max_conn
19,68.89143,max_conn
5,68.93445,max_conn
5,68.97588,max_conn
5,68.97618,max_conn
16,68.99356,max_conn
19,69.00120,max_conn
11,69.10292,max_conn
3,69.13828,max_conn
7,69.20264,max_conn
15,69.24905,max_conn
7,69.26928,max_conn
11,69.31334,max_conn
11,69.31541,max_conn
11,69.31657,max_conn
9,69.37163,max_conn
20,69.39863,max_conn
9,69.40448,max_conn
20,69.40618,max_conn
5,69.42924,max_conn
20,69.49575,max_conn
4,69.50086,max_conn
4,69.50218,max_conn
19,69.56956,max_conn
19,69.57164,max_conn
19,69.58448,max_conn
12,69.90311,max_conn
12,69.90496,max_conn
11,70.07580,max_conn
3,70.10190,max_conn
3,70.16656,max_conn
3,70.19744,max_conn
20,70.30370,max_conn
12,70.45721,max_conn
12,70.46788,max_conn
12,70.47426,max_conn
5,70.48327,max_conn
5,70.48623,max_conn
13,70.48768,max_conn
5,70.52775,max_conn
20,70.52854,max_conn
5,70.53139,max_conn
19,70.70359,max_conn
19,70.70827,max_conn
19,70.71041,max_conn
19,70.71374,max_conn
7,70.74472,max_conn
11,70.74742,max_conn
11,70.81022,max_conn
11,70.81178,max_conn
3,70.85870,max_conn
3,70.90606,max_conn
15,71.00325,max_conn
15,71.00535,max_conn
15,71.00910,max_conn
11,71.11026,max_conn
15,71.16544,max_conn
11,71.17403,max_conn
11,71.17698,max_conn
11,71.18141,max_conn
15,71.18560,max_conn
15,71.19161,max_conn
15,71.19332,max_conn
20,71.19806,max_conn
20,71.20236,max_conn
20,71.20614,max_conn
20,71.21897,max_conn
20,71.23084,max_conn
3,71.27151,max_conn
15,71.31864,max_conn
15,71.31983,max_conn
5,71.43963,max_conn
5,71.44017,max_conn
5,71.47139,max_conn
5,71.47279,max_conn
9,71.64435,max_conn
9,71.69786,max_conn
11,71.70620,max_conn
11,71.71007,max_conn
18,71.72633,max_conn
18,71.73297,max_conn
18,71.86191,max_conn
18,71.86289,max_conn
5,71.92095,max_conn
20,71.96362,max_conn
5,71.99202,max_conn
14,72.07767,max_conn
15,72.07877,max_conn
14,72.08860,max_conn
9,72.25198,max_conn
9,72.25264,max_conn
9,72.27830,max_conn
20,72.28287,max_conn
15,72.31440,max_conn
20,72.36902,max_conn
20,72.37811,max_conn
20,72.56739,max_conn
4,72.62979,max_conn
4,72.63421,max_conn
4,72.63583,max_conn
4,72.64909,max_conn
19,72.68785,max_conn
17,72.72938,max_conn
17,72.73317,max_conn
17,72.79252,max_conn
17,72.79326,max_conn
19,72.79583,max_conn
20,72.90955,max_conn
20,72.90961,max_conn
20,72.91084,max_conn
18,73.11287,max_conn
18,73.12790,max_conn
5,73.38994,max_conn
11,73.39440,max_conn
11,73.39639,max_conn
5,73.40255,max_conn
11,73.42305,max_conn
17,73.43065,max_conn
17,73.44074,max_conn
5,73.45155,max_conn
5,73.45158,max_conn
5,73.46152,max_conn
5,73.46337,max_conn
20,73.51109,max_conn
9,73.51493,max_conn
15,73.53415,max_conn
15,73.53634,max_conn
15,73.53793,max_conn
9,73.62741,max_conn
20,73.62828,max_conn
20,73.62869,max_conn
9,73.63111,max_conn
20,73.67343,max_conn
4,73.67927,max_conn
11,73.70662,max_conn
11,73.70730,max_conn
20,73.73279,max_conn
11,73.73796,max_conn
11,73.74388,max_conn
20,73.75017,max_conn
20,73.75209,max_conn
20,73.75891,max_conn
3,73.79556,max_conn
12,73.80129,max_conn
12,73.80321,max_conn
4,73.81171,max_conn
9,73.83282,max_conn
9,73.83559,max_conn
9,73.83794,max_conn
19,73.88553,max_conn
19,73.88795,max_conn
20,73.98531,max_conn
20,73.98673,max_conn
8,73.99885,max_conn
8,74.07254,max_conn
18,74.09872,max_conn
20,74.13668,max_conn
11,74.15791,max_conn
19,74.27690,max_conn
19,74.35690,max_conn
19,74.36433,max_conn
3,74.50749,max_conn
3,74.51078,max_conn
11,74.56632,max_conn
11,74.56681,max_conn
20,74.64495,max_conn
20,74.65164,max_conn
20,74.66938,max_conn
20,74.67873,max_conn
12,74.76861,max_conn
12,74.77564,max_conn
18,74.79884,max_conn
18,74.80119,max_conn
18,74.80547,max_conn
5,74.80868,max_conn
18,74.82665,max_conn
19,74.94478,max_conn
11,74.95276,max_conn
19,74.95638,max_conn
19,74.96070,max_conn
5,74.99900,max_conn
19,75.03242,max_conn
20,75.03897,max_conn
11,75.04278,max_conn
11,75.04491,max_conn
20,75.06156,max_conn
20,75.06540,max_conn
12,75.10838,max_conn
12,75.11200,max_conn
16,75.17825,max_conn
3,75.29943,max_conn
3,75.30194,max_conn
3,75.30373,max_conn
3,75.30664,max_conn
20,75.32942,max_conn
11,75.46232,max_conn
1,75.49153,max_conn
10,75.49603,max_conn
1,75.49681,max_conn
10,75.50257,max_conn
10,75.50969,max_conn
9,75.54073,max_conn
9,75.54709,max_conn
11,75.55069,max_conn
20,75.56210,max_conn
9,75.56446,max_conn
20,75.57298,max_conn
11,75.57789,max_conn
5,75.58986,max_conn
5,75.59065,max_conn
5,75.59191,max_conn
20,75.59911,max_conn
20,75.60019,max_conn
20,75.62375,max_conn
5,75.63428,max_conn
19,75.66200,max_conn
19,75.66237,max_conn
19,75.66279,max_conn
18,75.70372,max_conn
18,75.70746,max_conn
18,75.71124,max_conn
6,75.71681,max_conn
15,75.74224,max_conn
14,75.85232,max_conn
14,75.85294,max_conn
11,75.90252,max_conn
11,75.90376,max_conn
11,75.90466,max_conn
15,75.93285,max_conn
15,75.93676,max_conn
20,75.95751,max_conn
15,75.99763,max_conn
20,75.99993,max_conn
20,76.00007,max_conn
15,76.00120,max_conn
16,76.05595,max_conn
16,76.05841,max_conn
16,76.06174,max_conn
12,76.08076,max_conn
12,76.08105,max_conn
6,76.13077,max_conn
6,76.13824,max_conn
6,76.14552,max_conn
6,76.14584,max_conn
3,76.35370,max_conn
3,76.37122,max_conn
18,76.39321,max_conn
5,76.42743,max_conn
18,76.44214,max_conn
11,76.46837,max_conn
5,76.63610,max_conn
5,76.64400,max_conn
5,76.64845,max_conn
5,76.68461,max_conn
9,76.71509,max_conn
9,76.72496,max_conn
19,76.74066,max_conn
11,76.75001,max_conn
7,76.87487,max_conn
11,76.89786,max_conn
7,76.90223,max_conn
7,76.90418,max_conn
11,76.92397,max_conn
11,76.93307,max_conn
11,76.93569,max_conn
11,77.01203,max_conn
3,77.04664,max_conn
3,77.05536,max_conn
9,77.05810,max_conn
3,77.06561,max_conn
11,77.28777,max_conn
11,77.31177,max_conn
20,77.38309,max_conn
20,77.38580,max_conn
8,77.39337,max_conn
20,77.39439,max_conn
13,77.41808,max_conn
13,77.43027,max_conn
13,77.43458,max_conn
15,77.47165,max_conn
15,77.47265,max_conn
15,77.47801,max_conn
15,77.47901,max_conn
15,77.48028,max_conn
4,77.77097,max_conn
20,77.82511,max_conn
17,77.82784,max_conn
4,77.83438,max_conn
12,77.83462,max_conn
17,77.84647,max_conn
12,77.84951,max_conn
20,77.85569,max_conn
20,77.86120,max_conn
12,77.86376,max_conn
20,77.99361,max_conn
20,78.01345,max_conn
20,78.01444,max_conn
4,78.05163,max_conn
4,78.06200,max_conn
18,78.11024,max_conn
14,78.23488,max_conn
11,78.23544,max_conn
14,78.23750,max_conn
9,78.36729,max_conn
9,78.39073,max_conn
11,78.40095,max_conn
9,78.40155,max_conn
9,78.40449,max_conn
11,78.40694,max_conn
15,78.40972,max_conn
15,78.40987,max_conn
15,78.41548,max_conn
15,78.42526,max_conn
17,78.43128,max_conn
17,78.43289,max_conn
9,78.43597,max_conn
9,78.43682,max_conn
9,78.43761,max_conn
20,78.47458,max_conn
20,78.47560,max_conn
20,78.47685,max_conn
4,78.75680,max_conn
20,78.76810,max_conn
4,78.77790,max_conn
